T,TM,Tm,SLP,H,VV,V,VM,PM2.5,SO2,NO2,PM10,Class,NumClass
31,37.1,26.5,1007.1,54,2.6,7.6,22.2,43,NA,NA,NA,Satisfactory,2
33.2,36.2,27.9,994.8,70,2.3,5.4,13,54.69,9.43,18.3,63.84,Satisfactory,2
33.1,36.5,28.5,996.2,67,2.3,8.9,14.8,54.06,6.45,18.05,99.85,Satisfactory,2
33.6,36.7,28.8,996.7,66,5.8,5.9,11.1,40.28,5.88,26.05,93.69,Satisfactory,2
31,35.2,26,997.9,80,2.4,7.2,18.3,56.98,4.16,11.11,99.52,Satisfactory,2
27.1,32.7,24.6,999.5,95,1.9,4.4,9.4,42.74,6.05,13.37,71.08,Satisfactory,2
34.1,37,28.5,998.5,63,3.2,13,22.2,49.05,4.86,6.49,41.97,Satisfactory,2
34.1,37.2,29,998.4,61,2.6,11.5,22.2,55.59,8.24,6.17,45.92,Satisfactory,2
34.1,37.5,29.5,998.6,59,3.2,8.7,14.8,57.64,6.34,9.11,75.48,Satisfactory,2
29.2,31,26,1000,85,1.8,4.6,13,51.3,3.86,8.65,85.26,Satisfactory,2
32.6,36,26.2,997.8,66,3.4,5.6,9.4,51.9,3.81,8.84,60.15,Satisfactory,2
