"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2017.501112",68.0345807131805,20.5685382812129,149.925851817663,7.4575856579343,208.773872722242
"2017.501141",68.0241215380338,20.5469890739294,149.960595270437,7.4407739678986,208.848750068014
"2017.501169",68.0141458912525,20.5257355783953,149.995976437066,7.42415346168584,208.924327025952
"2017.501198",68.0046313813273,20.5047645391439,150.031965442216,7.40771592020001,209.000570753279
"2017.501226",67.9955566570864,20.4840633283509,150.068533778997,7.3914535206838,209.077449900056
"2017.501255",67.9869013590519,20.4636199156122,150.105654246487,7.37535881711415,209.154934541947
"2017.501283",67.9786460730996,20.4434228392185,150.143300890083,7.35942472160555,209.232996115944
"2017.501312",67.9707722863087,20.4234611788479,150.181448944572,7.34364448676611,209.311607358958
"2017.501340",67.9632623448962,20.4037245296049,150.220074779789,7.32801168895428,209.390742249129
"2017.501369",67.9560994141358,20.3842029773344,150.25915584874,7.31252021238781,209.470375949755
"2017.501397",67.9492674401658,20.364887075147,150.298670638094,7.29716423405867,209.550484755715
"2017.501426",67.9427511135942,20.3457678210928,150.338598620926,7.28193820941106,209.631046042285
"2017.501454",67.9365358348168,20.3268366369255,150.378920211608,7.26683685874162,209.712038216239
"2017.501483",67.9306076809648,20.3080853479016,150.419616722764,7.2518551542836,209.793440669138
"2017.501512",67.9249533744045,20.2895061635611,150.460670324178,7.23698830793885,209.875233732714
"2017.501540",67.9195602527151,20.271091659443,150.50206400358,7.22223175962352,209.95739863625
"2017.501569",67.9144162400743,20.2528347596856,150.543781529222,7.20758116619534,210.039917465872
"2017.501597",67.9095098199843,20.2347287204691,150.585807414155,7.19303239093212,210.122773125675
"2017.501626",67.9048300092751,20.2167671142581,150.628126882143,7.17858149353294,210.205949300592
"2017.501654",67.9003663333241,20.1989438148037,150.67072583513,7.16422472061488,210.289430420933
"2017.501683",67.8961088024344,20.1812529828684,150.713590822188,7.14995849667968,210.373201628528
"2017.501711",67.892047889317,20.1636890526369,150.756709009893,7.13577941552637,210.457248744389
"2017.501740",67.8881745076251,20.1462467187796,150.800068154046,7.12168423208691,210.541558237832
"2017.501768",67.8844799914896,20.128920924137,150.843656572685,7.10766985466323,210.626117196994
"2017.501797",67.8809560760108,20.1117068479934,150.887463120339,7.09373333754542,210.710913300685
"2017.501825",67.8775948786581,20.0945998949118,150.931477163452,7.07987187399145,210.795934791504
"2017.501854",67.8743888815382,20.0775956841026,150.975688556929,7.06608278955054,210.881170450179
"2017.501882",67.8713309144886,20.0606900392993,151.020087621762,7.05236353571244,210.966609571061
